month,state,permit,handgun,long_gun,other,multiple,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,totals
2017-04,Nevada,2016.0,4890.0,2747.0,243.0,287.0,0.0,0.0,0.0,5.641907070938114,123.0,0.0,0.0,0.0,10588.0
2017-04,New Jersey,0.0,5722.0,3201.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9119.0
2017-04,Puerto Rico,0.0,1105.0,205.8,45.0,26.0,2.0,1.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,1424.8000000000002
2017-04,Vermont,0.0,1855.0,1720.0,124.0,105.0,1.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,3818.0
2017-04,Virgin Islands,81.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-04,Virginia,1074.0,28476.000000000004,16844.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,48631.0
2017-03,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.415096959171596,481.0,5.0,0.0,0.0,88253.00000000001
2017-03,Colorado,7030.0,21249.0,14378.0,1508.4000000000003,973.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.891100725401066,3.367295829986474,45645.0
2017-03,District of Columbia,24.0,125.20000000000005,205.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-03,Guam,0.0,125.20000000000005,205.8,7.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1424.8000000000002
2017-03,Hawaii,1086.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,1424.8000000000002
2017-03,Mariana Islands,0.0,125.20000000000005,205.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-03,Nevada,3754.0,6038.0,3219.0,298.0,301.0,0.0,0.0,0.0,5.926926025970411,172.0,0.0,0.0,0.0,14158.0
2017-03,New Jersey,0.0,6871.0,3864.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10993.0
2017-03,Virgin Islands,64.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-03,Virginia,529.0,28476.000000000004,17754.0,1193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,1.3862943611198906,49368.0
2017-02,California,26413.7,28476.000000000004,17932.8,1508.4000000000003,0.0,0.0,0.0,0.0,6.42648845745769,481.0,5.0,0.0,0.0,88253.00000000001
2017-02,District of Columbia,25.0,125.20000000000005,205.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-02,Florida,23617.0,28476.000000000004,17932.8,1508.4000000000003,973.4000000000001,6.0,3.0,0.0,7.417039715729299,1467.6000000000001,10.0,4.891100725401066,3.367295829986474,88253.00000000001
2017-02,Guam,0.0,125.20000000000005,205.8,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.8000000000002
2017-02,Hawaii,1035.0,125.20000000000005,205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1424.8000000000002
